student_name,email,course_id
Rose Friedman,davidnelson@garcia-mckay.com,RSK-UY
Chris Davis,thomasphillips@gmail.com,MG-UY
Wesley Hall,harrislindsay@harris-hall.biz,ROB-UY
Diana Moody,rebecca68@nelson.biz,RUSSN-UA
Brian Harrison,mchapman@greene.com,IRISH-UA
Cheryl Doyle,caroline80@james.com,NEURL-UA
John Francis,allenmarilyn@shaffer-smith.biz,FINC-UB
David Gonzalez,austinhensley@vaughn.com,DRLIT-UA
Joshua Lee,griffinmelissa@johns.info,GS-UY
Robert Moore,webercarly@schwartz.com,ENVST-UA
Aaron Jones,robert70@hotmail.com,ECE-UY
Barbara Nichols,joshua26@hotmail.com,EURO-UA
Robin Arias,jhoward@colon-castillo.org,PL-UY
John Morris,contrerasricky@hotmail.com,VIP-UY
Kyle Lambert,jrichardson@spencer.com,RELST-UA
Emily Arnold,griffinelizabeth@hotmail.com,EXPOS-UA
Christian Miller,tararobinson@huerta.net,RELST-UA
Jon Rice,carmenlopez@hotmail.com,TCS-UY
Barbara Adams,stephanie18@raymond.com,PH-UY
Joshua Willis,cperkins@smith-johnson.biz,NODEP-UA
Diana Parker,kellie81@nguyen.net,COLU-UA
Joseph Garcia,anthony70@rich-williams.com,PORT-UA
Lisa Clark,hhutchinson@harvey-byrd.com,OPMG-UB
Melissa Brown,ymarsh@love.com,EURO-UA
Mark Stephens,wcampos@hotmail.com,STAT-UB
Melissa Leach,ganderson@schultz-reyes.info,MUSIC-UA
Shannon Austin,scottfitzgerald@schmidt-flores.org,NEURL-UA
Sean Rodriguez,christinadudley@christensen-vasquez.org,LATC-UA
Dawn Bishop,jonathanscott@merritt-andrews.com,MKTG-UB
Alexander Greene,owilliams@molina-miranda.net,EAST-UA
Jason Sexton,fowlerkathleen@buchanan.com,CM-UY
Melanie Gordon,matthewseric@castro.com,ANST-UA
Dan Phillips,kjackson@cooper-stark.org,LS-UY
Madison Jackson,christopher72@gmail.com,FL-UY
Karen Carter,christopherthomas@yahoo.com,COLIT-UA
Russell Bauer,murillojessica@hotmail.com,FYSEM-UA
Lisa Humphrey,scottjamie@lawrence.info,COLIT-UA
Shannon Medina,gcarpenter@sullivan.biz,ANST-UA
Charles Aguirre,benjamincharles@hotmail.com,URB-UY
William Roberts,veronicaferrell@mitchell-stein.com,URB-UY
Cameron Evans,smithjason@yahoo.com,PH-UY
Alejandro Andrews,ehamilton@gmail.com,ENGL-UA
Sandra Brooks,htorres@russell.com,HIST-UA
Todd Nelson,judy12@ware.biz,MGMT-UB
Melissa Morrow,danielmichael@hotmail.com,CFI-UA
Tasha Williams,vegacarlos@hotmail.com,GS-UY
Susan Smith,hendersonlisa@hotmail.com,TCS-UY
Susan Jacobson,rhondamurphy@gmail.com,CM-UY
James Robertson,acevedoolivia@peters-ross.net,MD-UY
Jon Johnson,warderik@gmail.com,RUSSN-UA
Jennifer Ray,vickidennis@calhoun-lee.com,SPAN-UA
Michael Griffin,alexahensley@smith-campbell.net,ARTH-UA
Isaiah Stewart,tmartin@gmail.com,SOC-UA
Elizabeth Davis,oprince@walker-bryan.com,CRWRI-UA
Kimberly Vincent,dgriffin@reynolds.com,UGA-UY
Casey Brandt,chandlerashley@hotmail.com,AN-UY
Ellen Scott,mark43@hotmail.com,NODEP-UA
Nancy Garcia,jamesdavis@hotmail.com,COLU-UA
Patricia Adkins,obaldwin@yahoo.com,FREN-UA
Taylor Smith,josephsmith@adams-bond.net,SCA-UA
Adam Campbell,michelle35@gmail.com,MATH-UA
Christina Meadows,danielmiller@gmail.com,BMS-UY
David Ware,nataliewilson@hudson.com,PL-UY
Mr. Daniel Scott,bowmankelly@duncan-walters.info,SPAN-UA
David Boyd,elizabeth73@yahoo.com,EC-UY
Scott Hunter,andrea34@martin.com,FREN-UA
Joseph Chan,iluna@adams.net,FIN-UY
Karen Robinson,jordanalyssa@gmail.com,NEURL-UA
Jacqueline Gamble,lisavillarreal@johnson.org,ITAL-UA
Chelsea Delgado,jamesjeffrey@butler-woods.com,MATH-UA
Tyler Watson,paynekevin@vazquez-pope.com,STS-UY
Brian Richards,ronnieponce@bullock.com,GERM-UA
Jerry Howard,brandon77@hotmail.com,ACCT-UB
Jonathan Cruz,markatkins@nguyen.com,PSYCH-UA
Phillip Young,oliviawilson@holloway.org,UGA-UY
Kathryn Anderson,laurenwright@yahoo.com,CFI-UA
Jenna Santana,averystephanie@smith.org,INTRL-UA
Daniel Mack,charlottehorton@hotmail.com,MKTG-UB
Jason Cole,lmccarthy@lane-mora.org,ENVST-UA
Paul Ramirez,whiteamanda@yahoo.com,CM-UY
Michael Morales,janicetaylor@conrad-nichols.com,HI-UY
Shannon Peterson,michelletaylor@yahoo.com,HI-UY
Tara Baker,kathysims@johns.net,GS-UY
Charles Henderson,henry81@collins.org,EC-UY
Suzanne Cole,patrickrodriguez@yahoo.com,MD-UY
Michael Hill,tammy74@johnson-lane.com,PHIL-UA
Patrick Walker MD,fullerjennifer@griffith.org,LWSOC-UA
Mary Parks,amorales@boyd.net,LS-UY
Ronald Miller,willispatrick@young-jensen.com,LWSOC-UA
Daniel Caldwell,phillipchan@hotmail.com,HEL-UA
Carrie Farmer,mckenzie90@perez.com,AE-UY
Jason Martin,donaldgay@gray-jennings.net,AE-UY
Nicholas Lewis,erin63@yahoo.com,CE-UY
Michelle Brown,greenlindsay@melendez.com,UGA-UY
Tracy Barnes,katie30@johnson-rogers.com,PHIL-UA
Shelby Jones,sandersamanda@hall.com,ENGL-UA
Cynthia Todd,gibsoneric@yahoo.com,ECON-UB
Michael Klein,icross@berger.com,OPMG-UB
Wanda Petersen,mchandler@gmail.com,LWSOC-UA
Tasha Kim,zholland@hotmail.com,ACCT-UB
Lindsay Serrano,tyrone33@ellis-aguirre.info,MEIS-UA
Nicholas Leblanc,stevenhorton@smith.net,MKTG-UB
Joshua Lynch,cortezbrian@vazquez.org,ECON-UA
Michael Wilson,brownjohn@freeman-conley.net,HEL-UA
Amanda Leon,emily99@yahoo.com,MG-UY
Rodney Weaver PhD,danielgarner@hotmail.com,CE-UY
Leah Grant,andreanash@ortiz.com,CM-UY
Alicia Lynch,xclark@gmail.com,MEIS-UA
Tammy Wilkerson,danielstevens@yahoo.com,MA-UY
Jessica Powell,mirandajennifer@johnston.com,STAT-UB
Brittany Gaines,caitlin41@ponce.com,DS-UA
Jessica Jenkins,lmartin@gmail.com,ACCT-UB
Nicole Evans,operez@gmail.com,BIOL-UA
Katherine Adams,michelle17@larson-collins.com,SOC-UA
Joshua Ford,wooddale@yahoo.com,FYSEM-UA
Jennifer Davis,imiller@church.biz,JOUR-UA
Matthew Caldwell,cruzmatthew@hotmail.com,GS-UY
Matthew Rice,matthewrodgers@gmail.com,EXPOS-UA
Jennifer Manning,davistrevor@wallace.com,EAST-UA
Alexander Russell,jamesmcmahon@crane.net,LWSOC-UA
Jared Hernandez,gilesderek@johnson-smith.com,LA-UY
Diane Wright,sherry49@yahoo.com,HU-UY
Matthew Morgan,ryanfreeman@hurst-wright.com,BSPA-UB
Michelle Wu DDS,scooley@gmail.com,ECE-UY
Richard Martinez,nicholashernandez@ochoa.com,CP-UY
Megan Fleming,barbara94@yahoo.com,SOC-UA
Jason Bentley,shelby17@garrett.com,OPMG-UB
David Barnett,thomasgonzalez@gmail.com,ECE-UY
Bryan Miller,costamegan@yahoo.com,ACCT-UB
Susan Howard,mark16@harrison.info,CFI-UA
Eric Johnson,englishfernando@gmail.com,ITAL-UA
Amy Murphy,tponce@hotmail.com,ITAL-UA
Cheryl Watkins,christophersteele@hotmail.com,RSK-UY
Cynthia Bryant,brightjennifer@brown.com,FINC-UB
Anthony Watson,pdixon@gonzalez.com,PHP-UY
Dillon Logan,kanealan@graham.info,CBE-UY
Dylan Baker,destinyfischer@cruz.com,PUBPL-UA
Theodore Moore,theresa79@gmail.com,ECON-UA
Mark Fuller,beardjustin@hotmail.com,DS-UA
Terri Moreno,kellyellis@yahoo.com,PORT-UA
Daniel Griffin,hillerin@johnson.info,CS-UY
Meagan Allison,mhernandez@hernandez.com,LING-UA
Katrina Page,wardmichael@gibson.net,ANTH-UA
Tracy Wilcox,shamilton@gmail.com,RELST-UA
Barbara Gutierrez,christopherhall@turner.com,GLBL-UA
Kevin Nunez,michaelwilcox@mathis-king.info,STAT-UB
Hannah Cox,john80@hotmail.com,BMS-UY
Jennifer Lyons,williamsrobert@austin-ramos.com,LWSOC-UA
Amanda Sandoval,robertday@yahoo.com,MKTG-UB
Thomas Blevins,vanglaurie@glenn-morrison.com,BTEP-UB
Reginald Fleming,pamela57@young.com,PHYS-UA
Misty Smith,vhill@yahoo.com,MULT-UB
Jennifer Watts,david47@yahoo.com,ENGL-UA
Timothy Miller,gdavis@gmail.com,HIST-UA
Alexander Stevens,brownjoel@yahoo.com,EG-UY
Tracy Fuller,lperry@gmail.com,PORT-UA
Gary Lane,dbradley@sheppard.org,BMS-UY
Nathan Jimenez,virginiasanchez@jackson.org,AN-UY
John Hernandez,csullivan@reeves.com,FYSEM-UA
Michelle Morris,oturner@gmail.com,SOC-UA
Tamara Nolan,christinemunoz@yahoo.com,NEURL-UA
Isabella Rodriguez,myersmichelle@shepard.com,ANST-UA
Deborah Price,dkidd@gmail.com,COLU-UA
Samantha Frye,stephanieryan@gmail.com,PHP-UY
Dana Taylor,wilcoxkathleen@gmail.com,EXPOS-UA
Tracy Dominguez,ricky33@yahoo.com,EN-UY
Jeffery Casey,andrea04@hotmail.com,HEL-UA
Diane Moore,amanda71@carney.com,PHYS-UA
Richard Caldwell,dustincain@gmail.com,EG-UY
Keith Dominguez,nicoleparker@harris-rice.org,LING-UA
Jade Clark,bwest@gmail.com,CFI-UA
Cory Andrews,darinyoung@gmail.com,STS-UY
Mario Lopez,stewartalex@hotmail.com,ME-UY
Rachel Haley,megan96@pitts-noble.com,STAT-UB
Jon Bentley,caseybrenda@miller.org,LA-UY
George Wang,elizabethholland@davidson.net,EAST-UA
Stephanie Hill,lisasmith@snyder.com,HEL-UA
Monica Vasquez,lori46@owens.biz,LATC-UA
James Wise,broman@hotmail.com,HEL-UA
Connie Owen,colleen00@hotmail.com,FINC-UB
David Tran,duartelynn@hotmail.com,MEIS-UA
Daniel Acosta,ymiller@hotmail.com,FYSEM-UA
Michael Morgan,webererika@cox.com,LATC-UA
Bradley Lee,feliciarichardson@farrell-morales.info,ARTH-UA
Brian Norris,keithfischer@humphrey.com,CAMS-UA
David Garrison,browndonald@gmail.com,LING-UA
Dorothy Taylor,amysnyder@cardenas.info,LATC-UA
Nicole Bauer MD,kingnicholas@gmail.com,MG-UY
Timothy Lee,westmary@moody.info,NEURL-UA
Sandra Harrison,jberger@wagner.com,STAT-UB
Anna Arias,angela80@yahoo.com,SOIM-UB
Taylor Richards,walkerjoshua@hotmail.com,TECH-UB
Patricia Fleming,lucas60@hotmail.com,CAM-UY
Brittney Flowers,chapmanjohn@moore.org,BIOL-UA
Preston Ferguson,chowell@yahoo.com,AH-UY
Kevin Garcia,lunaryan@brown.com,RSK-UY
Andrew Martinez,rosekaitlyn@lee.org,ACCT-UB
James Soto,brhodes@todd-walker.com,ENVST-UA
Christian Johns,edwardsbrendan@mcdaniel.com,BIOL-UA
Mark Harper Jr.,jeremy08@nelson-parrish.com,EURO-UA
Amanda Adams,ecasey@garcia.com,CRWRI-UA
Judy Smith,iwalker@gmail.com,RELST-UA
Anthony Holloway,npugh@hernandez.com,DS-UA
Lisa Hill,martinkristin@hotmail.com,PL-UY
James Evans,milleredward@webb.com,TECH-UB
Melanie Braun,kara67@yahoo.com,PSYCH-UA
Ashley Scott,brandon26@andrews.info,LA-UY
Kyle Martin,natasha39@villanueva.info,HU-UY
Wendy Wade,darrenpowell@fox-english.com,CHEM-UA
Travis Martinez,duncanlori@gmail.com,VIP-UY
David Weber,mthompson@gomez.com,ARTH-UA
Michelle Villa,danielle26@gmail.com,ACCT-UB
Eric Greene MD,cookjessica@stevens.com,HBRJD-UA
Caleb Villa,xburns@gmail.com,ECE-UY
Michael Flores,ydavis@gmail.com,HU-UY
Tammy Torres,porternatalie@yahoo.com,CHEM-UA
Tiffany Arnold,rwinters@yahoo.com,CRWRI-UA
Jessica Ramos,joel29@yahoo.com,FIN-UY
Stacy Adams,john20@yahoo.com,JOUR-UA
Henry Stevens,theresaallen@hotmail.com,NODEP-UA
Linda Davis,timothytucker@yahoo.com,ME-UY
Desiree Mccall,eugenechang@morris.com,STS-UY
Colton Reyes,oewing@brandt.com,HBRJD-UA
Alice Edwards,wolfeallen@yahoo.com,MG-UY
Tracy Bowman,amyallen@wagner-mejia.com,RELST-UA
Ryan Stephens,oespinoza@knight-adkins.com,IRISH-UA
David Chaney,thomas77@harris.com,ECON-UA
Jonathan Jackson,alexphillips@burns.com,HI-UY
Joel Walls,qramirez@collins.com,INTRL-UA
Michael Boyle,moraleskatie@gmail.com,HIST-UA
Matthew Weber,jessicamiller@cervantes.org,CRWRI-UA
Daniel Wilson,michael99@yahoo.com,ME-UY
Adam Harper,lanetina@hotmail.com,DS-UA
James Kane,allenlee@lang.biz,EURO-UA
Suzanne Snyder,valenciadaniel@francis.com,BPEP-UB
Michele Thompson,lcross@yahoo.com,LWSOC-UA
Olivia Williams,andersondaniel@hotmail.com,LING-UA
Jillian Blevins,thomasrobert@gmail.com,CLASS-UA
Chelsea Phillips,bethparker@gmail.com,ANST-UA
Ruth Jones,kenneth89@moss.info,FINC-UB
Sara Collins,toddmoore@hill.info,POL-UA
Hannah Harrell,matthewsimpson@gmail.com,MATH-UA
Danielle Fischer,iromero@gmail.com,GERM-UA
Lindsay Medina,darrell88@gmail.com,MU-UY
Elizabeth Pope,pjohnson@jones.com,INTRL-UA
Chelsea Kelley,rpatrick@gmail.com,PS-UY
Steve West,evazquez@hotmail.com,SPAN-UA
Cynthia Montoya,karabenitez@schneider-caldwell.com,BSPA-UB
Mary Schroeder,prattaustin@gibson.com,ENVST-UA
Diana Parrish,ericsmith@bray.info,EC-UY
Erin Collins,jeffreyguerra@beasley.biz,FIN-UY
Rebecca Clark,bauereric@thompson.com,HIST-UA
James Love,mward@gmail.com,PH-UY
Juan Austin,dawnsmith@gmail.com,EAST-UA
Savannah Cole,meganscott@barrett-watkins.com,ENVST-UA
Elizabeth Reed,tyler87@hotmail.com,CRWRI-UA
Justin Griffin,carolynkelly@watson-anderson.com,TCS-UY
Emily Spencer,evansheather@walker.com,PH-UY
Michael Preston,kristen08@wolfe.info,SPAN-UA
Barbara Hughes,nicholeboyer@hall.com,MUSIC-UA
Juan Andrade,joe94@bartlett.com,LATC-UA
Hector Payne,alexandra65@gmail.com,LS-UY
Sheila Bean,jefferydixon@yahoo.com,SCA-UA
Heather Scott,davidvaldez@smith.com,TCS-UY
Carolyn Castro,ephelps@gmail.com,EN-UY
Dr. Chloe Rose,briannamccoy@hotmail.com,PL-UY
Brandon Nielsen,jason76@george.com,HI-UY
Jennifer Mclean,andreafoster@hotmail.com,ENGL-UA
Nancy Rodriguez,robinsonwayne@stone-hunter.org,CBE-UY
Maria Shepherd,philliprhodes@maxwell.info,STAT-UB
Steven Ellis,michaelsingleton@buchanan-porter.info,BSPA-UB
Kelsey Robinson,kfleming@burnett.org,ANST-UA
Robert Foster,lisalee@george.com,ANST-UA
Anthony Johnston,carlstevens@hotmail.com,PH-UY
Casey Hernandez,lrobertson@hotmail.com,ECON-UB
Tina Harris,nlove@gmail.com,AH-UY
Jesse Powell,potterapril@hotmail.com,NODEP-UA
Todd Newman,teresaholloway@hotmail.com,CS-UY
Stephanie Hernandez,jessicafoster@gmail.com,COLU-UA
Carol Sanchez,traceylynn@brown-davis.com,CAM-UY
Kenneth Ortiz,robert81@fuentes.org,MULT-UB
Jeffery Weaver,curtisortiz@hotmail.com,PL-UY
Cory Morris,davidvelasquez@hotmail.com,UGA-UY
Johnny Hayden,hjohnson@cobb.com,ACCT-UB
Krystal Wood,jamesjacqueline@martinez.com,CSCI-UA
Kenneth Reed,jerry97@gmail.com,MUSIC-UA
Ricky Hart,davidthomas@nelson.com,MUSIC-UA
Brittany Palmer,rodriguezryan@aguilar.com,ME-UY
Shannon Turner,anna74@hotmail.com,MD-UY
Rachel Jackson,martin54@yahoo.com,BPEP-UB
Kristie Flores,mholland@wilkinson-boyle.com,LATC-UA
Anthony Hardy,paulreynolds@young-bailey.com,MU-UY
Ryan Matthews,elizabeth78@yoder-brady.org,ACCT-UB
Gregory Jones,haleypeterson@yahoo.com,CP-UY
John Sullivan,thomasamber@taylor.com,COLU-UA
Carol Holland,daniellewilson@salazar.biz,PSYCH-UA
Shawn Richardson PhD,kkramer@dougherty-williams.org,SOIM-UB
Kerry Esparza,orichardson@gmail.com,HU-UY
Chad Collins,hbuckley@yahoo.com,MULT-UB
Angela Ramirez,johnking@hotmail.com,HBRJD-UA
William Wilson,tjenkins@hotmail.com,CFI-UA
Eric Jones,bennetttimothy@gmail.com,COLIT-UA
Ashley Johnson,xmurray@rogers-hunter.com,COLU-UA
Amber Hoffman,victoria42@hotmail.com,AN-UY
Sarah Gallagher,jason42@merritt-garcia.com,CM-UY
Steve Tucker,douglasjoseph@gmail.com,IRISH-UA
Teresa Jefferson,melissaphillips@williams-vaughn.info,CAM-UY
Nancy Pratt,michelle71@frey-odonnell.org,DS-UA
Jason Schultz,vklein@williams-keller.com,CE-UY
Tina Valencia,williamsmelinda@yahoo.com,URB-UY
James Williams,wilcoxchristopher@yahoo.com,BPEP-UB
Jessica Benson,piercemichael@yahoo.com,TCS-UY
Stephen Thompson,kelsey79@mitchell.info,TCS-UY
Eric Johnson,jenniferrobertson@hotmail.com,CAM-UY
Paul Kelly,whitetimothy@vega.com,PORT-UA
Linda Wagner,wferguson@bradley.org,COLU-UA
Lauren Hudson,peterschneider@merritt.info,MEDI-UA
Samantha Cannon,joshuamarquez@yahoo.com,BTEP-UB
Debbie Moss,bevans@torres-white.com,EAST-UA
Matthew Davis,jonathan34@yahoo.com,BPEP-UB
Benjamin Hernandez,johnslauren@brown.com,CM-UY
Edward Hooper,megan12@schultz-mitchell.biz,EURO-UA
Jason Jacobs,paulsusan@simpson.biz,EURO-UA
Benjamin Roach,reedmichelle@hotmail.com,ANST-UA
Elizabeth Barron,nicholas42@gmail.com,PSYCH-UA
Gary Crosby,david89@allen-bryan.net,TECH-UB
Tony Parker,icastillo@gmail.com,ECON-UA
Sarah Pacheco,nguyenriley@hotmail.com,POL-UA
Christina Long,ericstone@cobb.com,CS-UY
Timothy Miller,mikejohnson@thompson-green.com,CHEM-UA
Amanda Jackson,butlerjulia@yahoo.com,ECE-UY
Anna Stewart,jcosta@ramsey-young.com,HU-UY
David Solis,gknox@gmail.com,ROB-UY
Erin Alexander,matthewsaunders@carter.com,CS-UY
Amy Shah,castillolaura@gmail.com,CM-UY
Kenneth Lee,grayphillip@hernandez.com,CORE-UA
Warren Mercado,juliagreen@lewis-moore.net,MEIS-UA
Michele Green,chodges@gmail.com,MG-UY
Deanna Aguirre,joshua06@wilson.com,ECE-UY
Kelly Perry,fisherlisa@gmail.com,LATC-UA
John Morris,pcompton@yahoo.com,MUSIC-UA
Michael Ellis,austinhayes@hotmail.com,BTEP-UB
Michelle Reyes,shermanbrent@williams.org,FINC-UB
John Peterson,adam25@watts-hurst.com,CHEM-UA
Mr. Robert Torres DVM,edwardscarol@yahoo.com,JOUR-UA
Megan Chavez,eortiz@hotmail.com,FIN-UY
Spencer Wallace,yparker@yahoo.com,MULT-UB
Justin Hodges,xhardin@livingston.net,INTRL-UA
Linda Burgess,vwilliams@gmail.com,FINC-UB
Marilyn Jackson,ibrown@chen.info,LING-UA
Donald Washington,hannahwhite@yahoo.com,FL-UY
Thomas Maldonado,heather69@gmail.com,ANTH-UA
Martha Morris,munozgloria@yahoo.com,HU-UY
Mark Chan,fsmith@gmail.com,EG-UY
Casey Mendoza,shannon25@gmail.com,ACCT-UB
Dr. Michelle Deleon,adkinssarah@hotmail.com,ROB-UY
Ann Snow,jamesangela@yahoo.com,MUSIC-UA
Elizabeth Estes,mparrish@morton-jordan.com,MUSIC-UA
Taylor Davis,vreynolds@williams-martin.net,OPMG-UB
Tonya Medina,suzanne16@valenzuela.com,BTEP-UB
Cassandra Jimenez,gortiz@gmail.com,FREN-UA
Justin Stewart,meyerssheryl@sanchez.com,MEDI-UA
Christina Wright,thompsonanthony@williams.com,TCS-UY
Katie Wagner,levi06@gmail.com,HU-UY
Robert Hendricks,gneal@reynolds-nguyen.com,EN-UY
Christopher Valdez,jasonperry@yahoo.com,PHP-UY
Dawn Jenkins,martinezmatthew@yahoo.com,NEURL-UA
Paul Wilson,esmith@king-morris.com,EG-UY
Anna Carney,jacquelinekirby@yahoo.com,ME-UY
Mary Murphy,qbell@roberts.com,PH-UY
Debra Nielsen,charlesdiaz@gmail.com,PH-UY
Linda Burke,dbrooks@boyer.com,BSPA-UB
Brian Lopez,pcraig@hotmail.com,MU-UY
Paul Burnett,lindastevens@gmail.com,PHIL-UA
Annette Anderson,treilly@wheeler.com,TCS-UY
Maurice Baker,hicksrichard@hotmail.com,GS-UY
Cynthia Valdez,iingram@gmail.com,ANTH-UA
Mary Mcdaniel,ruizmariah@russell.com,NEURL-UA
Ryan Richardson,bharris@jones.org,URB-UY
Nicole Mccoy,elizabeth71@yahoo.com,URB-UY
Peter Dixon,vthomas@gaines.com,POL-UA
David Johnson,eschneider@schmitt.com,STS-UY
Jennifer Hudson,joseph88@gmail.com,EAST-UA
James Jefferson,michael32@gmail.com,STS-UY
Mrs. Melissa Wilson,hjenkins@maxwell.com,HIST-UA
Krista Adkins,simsnatasha@garcia.net,HEL-UA
Molly Nicholson,colekevin@hotmail.com,DM-UY
Kristina Swanson,owensmichael@maxwell.com,ARTH-UA
Pamela Livingston,frances91@rodriguez.biz,TECH-UB
Alan Jensen,lisacastro@yahoo.com,CORE-UA
Robin Young,usmith@washington.com,FREN-UA
Ricardo Davis,reyeskelly@gmail.com,STAT-UB
Carol Smith,kevin67@yahoo.com,EC-UY
Thomas Morales,kathrynkelley@price-atkins.net,BIOL-UA
Lori Davis,williamallen@hotmail.com,OPMG-UB
Gary Cooper,igray@flynn.com,ROB-UY
Connie Miller,davisjuan@butler-mullins.com,MHUM-UA
Laura Roy,vdudley@taylor-davis.org,RUSSN-UA
Michelle Jones,gwhitney@johnson.com,ANTH-UA
Brandon Kelly,morrisonkatelyn@brown-ortiz.com,AN-UY
Stacy Lewis,ihubbard@hotmail.com,IRISH-UA
Tanya Farmer,janice47@hotmail.com,PUBPL-UA
Ruben Ortiz,smithjessica@gmail.com,EAST-UA
John Crane,carolyncarter@gilbert.net,PL-UY
Amy Barrett,jgarza@miller-pace.com,LING-UA
Jay Lyons,matthewevans@gmail.com,ECE-UY
Michael Smith,ymartinez@yahoo.com,CAMS-UA
Mitchell Harrington,valeriesmith@jenkins.org,CLASS-UA
Lisa Stewart,joshuajames@yahoo.com,MULT-UB
Stephanie Barnes,daltonadam@hansen-aguilar.org,GLBL-UA
Daniel Chambers,jonathanmartin@gmail.com,AH-UY
Patricia Baxter,zhall@johnson.com,CS-UY
Mr. James Gay,mcintoshlisa@gmail.com,RSK-UY
Heidi Lester,kimberly26@brown-hernandez.com,JOUR-UA
Nathaniel Rice,danielgeorge@yahoo.com,ITAL-UA
Logan Salazar,richard65@monroe.biz,BIOL-UA
Timothy Barton,hernandezronald@gmail.com,CAM-UY
Dr. Christopher Torres,kyleperkins@patrick-mack.com,HI-UY
Stephanie Cabrera,brian66@ball-jones.com,PHIL-UA
Justin Gutierrez,patrick78@gmail.com,LWSOC-UA
Brenda Hahn,briannapowell@hughes.net,MKTG-UB
Nicholas Warren,scottdavid@white.com,FL-UY
Taylor Miller,keithjulie@williams.com,EURO-UA
Cynthia Miller,jburke@hotmail.com,STS-UY
Justin Tran,jesuscombs@gmail.com,MEDI-UA
Alice Calderon,april54@kelly.org,UGA-UY
Daniel Pope,angelicafreeman@hall-mills.info,GERM-UA
Cassandra Maldonado,morrisadam@yahoo.com,JOUR-UA
Tamara Valdez,tylerlynn@turner.com,TCS-UY
Nicole Stevens,dbeltran@adkins.biz,HIST-UA
Katherine Alexander,tracyclark@yahoo.com,ME-UY
Brenda Harvey,xroberts@brown.com,MKTG-UB
